region,fuel,hour,MW,marginal,lower,upper,scale
SR,solar,6,4.0,0.0,0.0,inf,1.0
SR,solar,12,15898.0,0.0,0.0,inf,1.0
SR,solar,15,14635.0,0.0,0.0,inf,1.0
SR,solar,16,12868.0,0.0,0.0,inf,1.0
SR,solar,22,0.0,0.0,0.0,inf,1.0
SR,wind,3,7761.0,0.0,0.0,inf,1.0
SR,wind,6,5503.0,0.0,0.0,inf,1.0
SR,wind,12,4084.0,0.0,0.0,inf,1.0
SR,wind,15,5292.0,0.0,0.0,inf,1.0
SR,wind,16,5630.0,0.0,0.0,inf,1.0
SR,wind,22,8598.0,0.0,0.0,inf,1.0
ER,nuclear,3,0.0,0.0,0.0,inf,1.0
ER,nuclear,6,0.0,0.0,0.0,inf,1.0
ER,nuclear,12,0.0,0.0,0.0,inf,1.0
ER,nuclear,15,0.0,0.0,0.0,inf,1.0
ER,nuclear,16,0.0,0.0,0.0,inf,1.0
ER,nuclear,22,0.0,0.0,0.0,inf,1.0
ER,hydro,3,5988.0,0.0,0.0,inf,1.0
ER,hydro,6,5988.0,0.0,0.0,inf,1.0
ER,hydro,12,5988.0,0.0,0.0,inf,1.0
ER,hydro,15,5988.0,0.0,0.0,inf,1.0
ER,hydro,16,5988.0,0.0,0.0,inf,1.0
ER,hydro,22,5988.0,0.0,0.0,inf,1.0
ER,coal,3,37000.0,0.0,0.0,inf,1.0
ER,coal,6,37000.0,0.0,0.0,inf,1.0
ER,coal,12,37000.0,0.0,0.0,inf,1.0
ER,coal,15,37000.0,0.0,0.0,inf,1.0
ER,coal,16,37000.0,0.0,0.0,inf,1.0
ER,coal,22,37000.0,0.0,0.0,inf,1.0
ER,gas,3,0.0,0.0,0.0,inf,1.0
ER,gas,6,0.0,0.0,0.0,inf,1.0
ER,gas,12,0.0,0.0,0.0,inf,1.0
ER,gas,15,0.0,0.0,0.0,inf,1.0
ER,gas,16,0.0,0.0,0.0,inf,1.0
ER,gas,22,0.0,0.0,0.0,inf,1.0
ER,solar,3,0.0,0.0,0.0,inf,1.0
ER,solar,6,0.0,0.0,0.0,inf,1.0
ER,solar,12,621.0,0.0,0.0,inf,1.0
ER,solar,15,621.0,0.0,0.0,inf,1.0
ER,solar,16,621.0,0.0,0.0,inf,1.0
ER,solar,22,0.0,0.0,0.0,inf,1.0
ER,wind,3,0.0,0.0,0.0,inf,1.0
ER,wind,6,0.0,0.0,0.0,inf,1.0
ER,wind,12,0.0,0.0,0.0,inf,1.0
ER,wind,15,0.0,0.0,0.0,inf,1.0
ER,wind,16,0.0,0.0,0.0,inf,1.0
ER,wind,22,0.0,0.0,0.0,inf,1.0
NER,nuclear,3,0.0,0.0,0.0,inf,1.0
NER,nuclear,6,0.0,0.0,0.0,inf,1.0
NER,nuclear,12,0.0,0.0,0.0,inf,1.0
NER,nuclear,15,0.0,0.0,0.0,inf,1.0
NER,nuclear,16,0.0,0.0,0.0,inf,1.0
NER,nuclear,22,0.0,0.0,0.0,inf,1.0
NER,hydro,3,2773.0,0.0,0.0,inf,1.0
NER,hydro,6,2773.0,0.0,0.0,inf,1.0
NER,hydro,12,2773.0,0.0,0.0,inf,1.0
NER,hydro,15,2773.0,0.0,0.0,inf,1.0
NER,hydro,16,2773.0,0.0,0.0,inf,1.0
NER,hydro,22,2773.0,0.0,0.0,inf,1.0
NER,coal,3,0.0,200.0,0.0,inf,1.0
NER,coal,6,0.0,200.0,0.0,inf,1.0
NER,coal,12,0.0,200.0,0.0,inf,1.0
NER,coal,15,0.0,200.0,0.0,inf,1.0
NER,coal,16,0.0,200.0,0.0,inf,1.0
NER,coal,22,750.0,0.0,0.0,inf,1.0
NER,gas,3,0.0,2200.0,0.0,inf,1.0
NER,gas,6,0.0,2200.0,0.0,inf,1.0
NER,gas,12,0.0,2200.0,0.0,inf,1.0
NER,gas,15,0.0,2200.0,0.0,inf,1.0
NER,gas,16,0.0,2200.0,0.0,inf,1.0
NER,gas,22,1665.0,0.0,0.0,inf,1.0
NER,solar,3,0.0,0.0,0.0,inf,1.0
NER,solar,6,0.0,0.0,0.0,inf,1.0
NER,solar,12,195.0,0.0,0.0,inf,1.0
NER,solar,15,195.0,0.0,0.0,inf,1.0
NER,solar,16,193.0,0.0,0.0,inf,1.0
NER,solar,22,0.0,0.0,0.0,inf,1.0
NER,wind,3,0.0,0.0,0.0,inf,1.0
NER,wind,6,0.0,0.0,0.0,inf,1.0
NER,wind,12,0.0,0.0,0.0,inf,1.0
NER,wind,15,0.0,0.0,0.0,inf,1.0
NER,wind,16,0.0,0.0,0.0,inf,1.0
NER,wind,22,0.0,0.0,0.0,inf,1.0
